X	Y	RouteID	ARM	Direction_	Location	Year_2012	Year_2013	Year_2014	Year_2015	Year_2015_	GlobalID	LastUpdate
-119.885956446154793	48.005871088820811	097	235.409999999999997	Bothways	At Milepost 250.35 A:PTR LOCATION P11	4200*	4400*	4400*	4700*	4700	{B12893AD-4B79-4C3E-A29D-2A760B80D674}	2015/12/31
-122.312590400725398	47.593340999299166	090	1.040000000000000	Bothways	At Milepost 2.98 A:PTR LOCATION R117				121000*	121000	{BB3DB3FA-F6FC-4E8D-A028-42526C7A42A9}	2015/12/31
-122.674280288310769	45.788598431270955	005	12.190000000000000	Bothways	At Milepost 12.19 A:PTR LOCATION R109	79000	82000*	84000*	88000*	88000	{14636BD6-874B-4EBF-9257-F44E4EEEB6D2}	2015/12/31
-119.494098840127577	48.429351405857616	097	278.470000000000027	Bothways	At Milepost 293.42 A:PTR LOCATION R068	5200*	5200*	5300*	5500*	5500	{CD804DB2-FFAB-4A2D-BE02-B04776A8C294}	2015/12/31
-117.0550812203942	47.730192138757033	290	17.590000000000000	Bothways	At Milepost 17.66 A:PTR LOCATION P33	7600*	7700*	7700*	8300*	8300	{E500C133-9F26-40BD-A3E9-04FDA5F2EEF5}	2015/12/31
-119.730228345968087	46.638671168720613	024	43.219999999999999	Bothways	At Milepost 43.50 A:PTR LOCATION S612	4000*	4200*	4300*	4500*	4500	{D12DC8A9-33EB-4802-A722-8F5C3685C7F3}	2015/12/31
-120.966831782287116	47.193312781385103	090	80.980000000000004	Bothways	At Milepost 82.70 A:PTR LOCATION B04	28000*	29000*	30000*	31000*	31000	{E6807F63-C501-48F3-92FE-9297492FD405}	2015/12/31
-122.662971937601895	47.527457319469974	016	25.059999999999999	Bothways	At Milepost 27.09 A:PTR LOCATION R116			53000*	56000*	56000	{6D088DD9-197E-4204-931D-6058B8F2028A}	2015/12/31
-117.224461492909327	46.733775050205018	195	22.559999999999999	Bothways	At Milepost 22.20 A:PTR LOCATION P14	3100*	3300*	3400*	3500*	3500	{A6E1D59E-4848-4AD9-942F-DD384DA581CA}	2015/12/31
-120.784092847693415	46.748529844513335	012	185.330000000000013	Bothways	At Milepost 185.62 A:PTR LOCATION S818 EAST	3800*	3900*	3900*	4200*	4200	{E5261706-CE11-4CDE-B7A4-F24115E30CAC}	2015/12/31
-122.186674517429623	47.606438582972999	405	13.029999999999999	Bothways	At Milepost 13.04 A:PTR LOCATION S204	196000*	198000*	201000*	192000*	192000	{75F6626E-F7C2-4890-AD85-94511AB42125}	2015/12/31
-122.28299113655757	47.495697910751971	599	1.150000000000000	Bothways	At Milepost 1.15 A:PTR LOCATION S839	40000*	41000*	42000*	43000*	43000	{406F4453-76B8-4DBD-AC8E-2E14A1162B09}	2015/12/31
-119.454466064813829	48.983729481775434	097	320.339999999999975	Bothways	At Milepost 335.30 A:PTR LOCATION P22	2100*	2100*	2100*	1800*	1800	{3828B74A-FDA2-4481-AE70-151373D6193F}	2015/12/31
-118.005356933147155	48.779009335286553	025	96.939999999999998	Bothways	At Milepost 97.00 A:PTR LOCATION P27				320*	320	{9AC23B9C-7AEB-4811-A579-8817461506D0}	2015/12/31
-120.313370296228129	47.495250578112085	097AR	1.700000000000000	Bothways	At Milepost 201.53 A:PTR LOCATION R059	6100*	6700*	6600*	7000*	7000	{8CBD8863-1B99-40CA-876E-AAFF968231E1}	2015/12/31
