Shape,DOWNTOWN,STNAME,NAME,YEAR_,AAWDT,HPMS,FLOW_COUNT,OBJECTID,GEOBASID,COMPKEY,SEGKEY,INPUT_STUDY_ID,Shape_Length
"(47.708560987000055, -122.31785220999996)",N,NORTHGATE WAY W/O 15TH AVE NE,"NE NORTHGATE WAY, W/O 15TH AVE NE",2011,18900,Y,Y,223,139300090,18018,18018,304688,1334.918892631303606
"(47.53426725400004, -122.313197533)",N,EAST MARGINAL WAY S,"EAST MARGINAL WAY S, SE/O BOEING DR",2011,16100,Y,Y,224,113000390,14420,14420,307698,1390.106762320916005
"(47.60171754600003, -122.33658213799998)",Y,ALASKAN WAY,"ALASKAN WAY, SE/O PIKE ST",2011,11300,Y,Y,225,50450160,269161,269161,307686,2699.014211130821877
"(47.54698097800008, -122.30793669799999)",N,S GRAHAM ST,"S GRAHAM ST, E/O SWIFT AVE S",2011,14400, ,Y,226,160500030,20110,20110,308079,5650.69561172189151
"(47.65135136100008, -122.34731411199999)",N,AURORA AVE N,"AURORA AVE N, S/O N 80TH ST",2011,37400, ,Y,227,52500700,8957,8957,308049,13101.596033819592776
"(47.60172225500003, -122.33554940699997)",Y,WESTERN AVE,"WESTERN AVE, NW/O UNION ST",2011,8700, ,Y,228,104200090,13503,13503,308205,2390.745821119614902
"(47.68694220500004, -122.34450322999999)",N,AURORA AVE N,"AURORA AVE N, S/O N 112TH ST",2011,32400, ,Y,229,52501010,8988,8988,304692,8438.973686694766002
"(47.55932475900005, -122.38682986999999)",N,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",2011,13000, ,Y,230,57900270,9555,9555,308053,5272.757337804995586
"(47.57835004300006, -122.29815071399997)",N,RAINIER AVE S,"RAINIER AVE S, SE/O M L KING JR WAY S",2011,32200,Y,Y,231,93450300,12368,12368,307737,6331.468150000773676
"(47.60165615300008, -122.29676784199995)",N,ML KING JR BLVD S NB & SB,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",2011,21100,Y,Y,232,82930400,352636,352636,307514,15240.664722065361275
"(47.59919689000003, -122.32896751399994)",N,4TH AVE S,"4TH AVE S, S/O 2ND AV ET S",2011,26600,Y,Y,233,31500050,6230,6230,307676,989.412465068772235
"(47.66983612900003, -122.34001046299994)",N,EAST GREEN LAKE WAY N,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",2011,16300,Y,Y,234,110750030,14073,14073,307308,5999.201498990153596
"(47.67572242700004, -122.26354467899995)",N,SAND POINT WAY NE,"SAND POINT WAY NE, S/O NE 74TH ST",2011,14600, ,Y,235,95550230,12724,12724,308083,2627.9478611424056
"(47.682772372000045, -122.34448441399996)",N,EAST GREEN LAKE DR N,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",2011,12500, ,Y,236,110700050,14060,14060,304706,5941.889149302470287
"(47.66124330500003, -122.29286352199995)",N,SAND POINT WAY NE,"SAND POINT WAY NE, SW/O NE 65TH ST",2011,17600, ,Y,237,95550200,12722,12722,308085,9652.347107549097927
"(47.571577664000074, -122.32898895899996)",N,WEST SEATTLE BR EB & WB,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2011,39900,Y,Y,238,102580040,13333,13333,307594,7305.027200542995161
"(47.50884352400004, -122.27822332499994)",N,M L KING JR WAY S,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",2011,30700,Y,Y,239,82930910,489661,489661,307790,5307.35861046505488
"(47.71960135900008, -122.35553853899995)",N,N 125TH ST,"N 125TH ST, W/O AURORA AVE N",2011,9400, ,Y,240,118500080,519931,519931,308069,2609.62303232386148
"(47.560808447000056, -122.29324025299996)",N,M L KING JR WAY S,"M L KING JR ER & WR WAY S, NW/O S EDMUNDS ST",2011,20200, ,Y,241,,484993,484993,308063,7102.155338104333168
"(47.66503444600005, -122.34020747199997)",N,NE 50TH ST,"N 50TH ST, W/O 1ST AVE NE",2011,26900,Y,Y,242,133200020,15656,15656,304720,3469.896688915790037
"(47.61090005900007, -122.34553867499994)",Y,WESTERN AV OFF RP,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2011,16200, ,Y,243,104300010,13524,13524,303110,800.684096850946503
"(47.54827138400003, -122.33430913199999)",N,EAST MARGINAL WAY S,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",2011,14000,Y,Y,244,113000280,14407,14407,304798,2027.943455466750038
"(47.534199596000065, -122.33216467699998)",N,SR99 FY,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",2011,41000, ,Y,245,97810020,490543,490543,308147,6145.389648502358796
"(47.601695164000034, -122.31782315499999)",N,BOREN AVE,"BOREN AVE, NW/O E YESLER WAY",2011,18100,Y,Y,246,55650010,9303,9303,304519,2098.096093199745155
"(47.60236019700005, -122.33670251499996)",Y,COLUMBIA ST ON RP,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",2011,11300, ,Y,247,60150010,9738,9738,303117,664.284649361950869
"(47.610664203000056, -122.34543064099995)",Y,ELLIOTT AV ON RP,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",2011,18400,Y,Y,248,65700010,10224,10224,303111,556.315589477154731
"(47.60178556900007, -122.32894644599997)",Y,4TH AVE S,"4TH AVE S, S/O 2ND AV ET S",2011,26600,Y,Y,249,31500050,6230,6230,307676,932.015393758370919
"(47.60648348600006, -122.32252969599995)",Y,BOREN AVE,"BOREN AVE, SE/O PIKE ST",2011,21100,Y,Y,250,55650170,9318,9318,304521,5447.817522424120398
"(47.60784153700007, -122.34265099699996)",Y,ALASKAN WAY,"ALASKAN WAY, SE/O BLANCHARD ST",2011,10300, ,Y,251,50450230,8728,8728,307107,4264.945927647945609
"(47.57156290100005, -122.34420594899996)",N,SW SPOKANE BR,"SW SPOKANE BR, W/O SW SPOKANE E ST",2011,22300,Y,Y,252,181760010,22804,22804,307654,3997.421837614164815
"(47.56407659800004, -122.37618931699996)",N,35TH AVE SW,"35TH AVE SW, S/O SW ALASKA ST",2011,23500,Y,Y,253,27200140,5452,5452,304827,7074.600950798406302
"(47.611576067000044, -122.33110191299994)",R,UNION ST OFF RAMP,"UNION ST OFF RP, NE/O UNION ST",2011,12300, ,Y,254,78100010,489864,489864,302267,309.049584676981453
"(47.61348159700003, -122.32993940999995)",R,OLIVE WAY OFF RAMP,"OLIVE WY OFF RP, S/O OLIVE WAY",2011,8800, ,Y,255,77250010,489829,489829,303548,1120.935702374601078
"(47.60567227100006, -122.32849229699997)",R,SENECA ST OFF RAMP,"SENECA ST OFF RP, SE/O SENECA ST",2011,21300, ,Y,256,96200020,490079,490079,302215,1443.049303191377476
