SiteId,SiteLocation,Date,DayOfWeek,TravelDirection,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-06-17 00:00:00,Wednesday,Southbound,0,0,1,0,26,968,1914,2558,2330,1553,1223,310,330,1155,1587,1963,2218,2262,1801,1019,737,798,805,266
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-06-24 00:00:00,Wednesday,Southbound,0,0,1,0,20,931,1899,2518,2161,1469,1119,586,1050,1192,1596,1948,2232,2275,1725,1020,744,35,3,0
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2011-09-14 00:00:00,Wednesday,Northbound,5,3,2,4,21,850,1804,2382,2462,1762,1095,597,950,1034,1545,1890,2222,2372,1850,1040,814,737,650,167
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2011-09-28 00:00:00,Wednesday,Northbound,2,3,2,5,25,634,1482,2494,2438,1950,1103,509,923,1067,1380,1980,2304,2403,1862,1010,801,721,545,165
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2011-11-09 00:00:00,Wednesday,Northbound,1,1,2,0,21,880,1846,2802,2355,1532,1002,518,898,1062,1471,1940,2250,2327,1806,1006,758,606,470,111
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2011-11-16 00:00:00,Wednesday,Northbound,2,1,2,3,24,852,1854,2748,2261,1489,1003,449,895,1135,1423,1821,2102,2185,1841,1189,735,666,474,134
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2011-11-23 00:00:00,Wednesday,Northbound,1,0,1,0,17,763,1688,2212,2029,1412,1018,531,1293,1370,1689,1893,1963,1786,1320,1031,761,687,558,199
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2011-11-30 00:00:00,Wednesday,Northbound,1,0,0,0,24,844,1807,2692,2318,1472,953,435,905,1134,1482,1939,2196,2332,1766,1122,760,663,527,125
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2013-08-19 00:00:00,Monday,Northbound,0,0,0,0,76,937,1847,2443,2058,1470,1240,570,984,1107,1455,1902,2240,2317,1659,1072,798,606,446,63
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2013-08-26 00:00:00,Monday,Northbound,0,0,0,0,61,1016,1853,2420,2289,1670,1134,739,955,1143,1445,1957,2153,2196,1749,1032,700,700,574,47
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2013-09-02 00:00:00,Monday,Northbound,0,0,0,0,0,0,0,44,557,742,968,1014,941,756,989,1007,1139,1070,959,937,806,757,576,54
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2013-09-09 00:00:00,Monday,Northbound,0,0,0,0,67,986,1861,2549,2265,1544,1067,620,881,1082,1480,1881,2113,2255,1758,967,671,592,508,81
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2013-09-16 00:00:00,Monday,Northbound,249,93,67,26,47,1000,1838,2627,2267,1438,1034,505,896,1082,1496,1907,2283,2437,1707,979,682,626,592,76
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2008-07-20 00:00:00,Sunday,Northbound,3,0,1,1,0,0,34,367,543,785,1048,1098,1148,577,1176,1229,1349,1310,1361,1206,1207,950,777,230
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2008-08-03 00:00:00,Sunday,Northbound,1,2,1,1,0,0,10,327,518,857,1037,1227,1285,695,1122,1343,1347,1282,1267,1113,1033,920,727,240
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2008-08-10 00:00:00,Sunday,Northbound,213,112,73,58,102,183,284,371,550,854,1149,1303,1314,1198,1081,1048,1056,975,931,818,760,647,407,207
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2008-08-17 00:00:00,Sunday,Northbound,180,118,72,63,104,196,293,397,599,673,1210,1309,1381,1300,1184,1140,1076,1046,1008,872,766,600,374,193
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2008-08-24 00:00:00,Sunday,Northbound,0,1,1,1,0,1,3,1,188,688,935,1159,1089,518,1006,1089,1214,1020,921,982,903,863,659,212
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-07-01 00:00:00,Friday,Northbound,0,0,0,0,5,1113,1798,2249,1878,1591,1346,920,1345,1484,1731,1981,1914,1712,1381,1023,886,863,903,160
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-07-08 00:00:00,Friday,Northbound,0,0,1,1,10,1059,1851,2367,2160,1377,1160,766,1155,1347,1658,1939,2089,2084,1668,1235,925,827,883,336
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-07-15 00:00:00,Friday,Northbound,0,0,0,0,4,1050,1814,2433,2176,1681,749,984,1235,1341,1602,2001,2004,1817,1584,1202,1031,1084,1110,442
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-07-22 00:00:00,Friday,Northbound,231,114,76,56,49,987,1688,2330,2229,1380,1219,324,1268,1339,1657,1932,2030,1957,1635,1193,968,876,855,585
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-07-29 00:00:00,Friday,Northbound,0,2,1,1,3,1042,1905,2373,2278,1554,1337,927,1228,1356,1612,1762,1948,1893,1709,1195,968,945,870,193
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-08-05 00:00:00,Friday,Northbound,0,0,0,0,2,1070,1796,2328,2089,1634,1398,803,1195,1379,1659,1941,1958,1851,1559,1189,1016,1008,1024,273
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2014-01-19 00:00:00,Sunday,Southbound,0,0,0,0,1,0,0,58,471,760,946,982,905,742,620,482,565,493,421,1055,1095,708,522,45
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2014-01-26 00:00:00,Sunday,Southbound,0,0,0,0,0,0,0,65,458,839,933,969,863,559,1038,1069,1098,1025,899,732,466,514,385,56
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2014-02-02 00:00:00,Sunday,Southbound,0,0,0,0,0,0,0,31,362,621,724,774,834,820,1291,793,435,315,289,836,1040,1015,543,116
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2014-02-09 00:00:00,Sunday,Southbound,141,74,42,21,23,33,51,54,99,311,456,501,594,510,799,839,966,874,808,611,527,490,358,79
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2014-02-16 00:00:00,Sunday,Southbound,0,0,0,0,0,0,0,40,458,694,754,756,692,715,594,776,1091,1040,900,726,666,613,514,134
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-03-28 00:00:00,Saturday,Northbound,2,0,1,0,1,0,1,2,7,406,1055,1088,964,693,1224,1309,1238,1212,1065,863,705,771,918,241
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-08-20 00:00:00,Monday,Northbound,0,1,0,0,13,908,1802,2516,2089,1446,1096,723,961,1142,1546,1875,2188,2238,1637,1058,750,687,593,158
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-08-27 00:00:00,Monday,Northbound,0,0,0,0,20,925,1830,2409,2036,1730,1152,660,978,1120,1346,1810,2075,2160,1633,1029,730,616,509,57
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-09-03 00:00:00,Monday,Northbound,0,0,0,0,0,0,45,320,441,657,856,987,952,756,1038,1092,1229,1033,925,911,880,733,606,94
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-09-10 00:00:00,Monday,Northbound,0,0,0,0,61,899,1651,2390,2391,1595,1034,814,854,1130,1385,1896,2124,2321,1662,974,699,577,489,99
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-09-17 00:00:00,Monday,Northbound,0,0,0,0,81,908,1865,2529,2183,1516,1012,596,904,1132,1481,1966,2201,2267,1644,933,749,615,486,52
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2010-11-22 00:00:00,Monday,Southbound,52,27,26,52,179,771,1645,1600,1399,1359,1024,551,535,496,527,420,399,327,328,158,86,66,48,32
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2010-11-29 00:00:00,Monday,Southbound,0,0,0,0,13,811,1807,2598,2583,1684,1066,445,939,1087,1489,1985,2185,2354,1793,992,698,595,444,120
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-11-04 00:00:00,Sunday,Southbound,0,0,0,0,1,0,39,309,480,822,1071,1117,957,733,1009,1076,1502,1433,986,787,672,596,442,52
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-11-11 00:00:00,Sunday,Southbound,159,0,0,0,0,3,22,297,457,789,1124,1216,1066,806,1044,1110,1514,1316,921,799,696,654,515,66
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-12-02 00:00:00,Sunday,Southbound,0,0,0,0,1,0,43,243,406,703,815,841,849,679,1076,1013,1150,1078,841,747,637,564,441,97
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-12-16 00:00:00,Sunday,Southbound,0,0,0,0,0,0,26,265,440,716,894,920,996,649,1192,1009,1117,1053,945,821,723,669,544,120
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-11-27 00:00:00,Sunday,Southbound,0,0,0,0,0,0,0,3,509,756,922,954,976,739,1117,1098,1141,1048,990,948,835,617,466,74
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-12-04 00:00:00,Sunday,Southbound,0,0,0,0,0,0,0,1,479,748,947,978,997,819,1181,1188,1191,1176,912,750,904,1156,287,81
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2015-06-05 00:00:00,Friday,Southbound,2,1,0,3,2,1152,1919,2533,2237,1569,1199,759,1212,1397,1725,2097,2174,2164,1689,1177,908,858,1029,112
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2015-06-12 00:00:00,Friday,Southbound,1,2,1,4,18,1177,1952,2436,2133,1750,1337,868,1296,1401,1692,2036,2057,2029,1755,1266,960,1001,914,48
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2015-06-19 00:00:00,Friday,Southbound,0,0,0,0,4,1173,1872,2368,2156,1707,1254,904,1249,1360,1698,1970,2134,1962,1599,1247,1068,987,1050,274
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2015-06-26 00:00:00,Friday,Southbound,0,1,0,1,9,1105,1908,2309,2148,1509,645,960,1248,1369,1602,1882,1971,2009,1502,1141,909,827,880,706
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2015-07-03 00:00:00,Friday,Southbound,0,0,0,0,8,475,740,883,1018,1130,1218,894,1106,1165,1242,1280,1129,1002,976,799,721,724,937,51
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2015-07-10 00:00:00,Friday,Southbound,0,0,0,0,11,1076,1920,2367,2144,1552,1271,894,1212,1359,1616,1987,2040,2037,1670,1244,991,926,985,154
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-09-15 00:00:00,Thursday,Southbound,0,0,0,0,2,1133,1969,2627,2184,1744,1055,722,1064,1283,1622,2038,2110,2175,1921,1315,987,901,715,113
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-09-22 00:00:00,Thursday,Southbound,0,1,1,2,5,1151,1922,2585,2287,1898,1170,726,1104,1224,1672,2037,2198,2161,1818,1384,939,854,693,119
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-09-29 00:00:00,Thursday,Southbound,0,0,0,2,5,1162,1871,2699,2188,1595,1155,672,1049,1226,1667,2077,2158,2128,1772,1171,885,837,818,137
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-10-06 00:00:00,Thursday,Southbound,1,0,0,2,3,1148,1907,2706,2347,1180,1147,708,989,1282,1669,1988,2196,2242,1857,1213,873,815,630,145
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2016-10-13 00:00:00,Thursday,Southbound,0,0,0,0,3,1105,1808,2149,1921,1779,1248,142,1123,1242,1549,1983,1983,2033,1731,1266,836,760,351,98
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-08-18 00:00:00,Saturday,Northbound,1,0,1,0,0,0,67,575,867,1085,1250,1464,1436,871,1162,1462,1321,1215,1120,965,918,947,920,94
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-09-01 00:00:00,Saturday,Northbound,0,0,0,0,0,0,67,546,883,1081,1221,1352,1149,784,1011,978,1113,999,840,859,773,764,830,214
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-09-08 00:00:00,Saturday,Northbound,0,1,0,0,0,0,82,641,803,1036,1157,1249,1171,857,1140,1370,1122,1081,1009,871,862,917,691,77
